Table Homed
ConfirmFirstMeasureToSideOfTable()
Table measured at :96
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
0:0 touched True steps 463
0:1 touched True steps 471
0:2 touched True steps 478
0:3 touched True steps 482
0:4 touched True steps 484
0:5 touched True steps 488
0:6 touched False steps 490
0:7 touched False steps 490
0:8 touched False steps 490
0:9 touched False steps 490
0:10 touched False steps 490
0:11 touched False steps 490
0:12 touched False steps 490
0:13 touched False steps 490
0:14 touched False steps 490
0:15 touched False steps 490
0:16 touched True steps 374
0:17 touched True steps 376
0:18 touched True steps 374
0:19 touched True steps 378
0:20 touched True steps 411
0:21 touched True steps 421
0:22 touched True steps 425
0:23 touched True steps 434
0:24 touched True steps 443
0:25 touched True steps 450
0:26 touched True steps 451
0:27 touched True steps 460
0:28 touched True steps 465
0:29 touched True steps 468
0:30 touched True steps 471
0:31 touched True steps 475
0:32 touched True steps 477
0:33 touched True steps 483
0:34 touched False steps 490
0:35 touched False steps 490
0:36 touched False steps 490
0:37 touched False steps 490
0:38 touched False steps 490
0:39 touched False steps 490
0:40 touched False steps 490
0:41 touched False steps 490
0:42 touched True steps 376
0:43 touched True steps 376
0:44 touched True steps 375
0:45 touched True steps 379
0:46 touched True steps 404
0:47 touched True steps 442
0:48 touched True steps 448
0:49 touched True steps 451
0:50 touched True steps 460
Revolution 1
1:0 touched True steps 467
1:1 touched True steps 469
1:2 touched True steps 478
1:3 touched True steps 485
1:4 touched True steps 489
1:5 touched True steps 488
1:6 touched False steps 490
1:7 touched False steps 490
1:8 touched False steps 490
1:9 touched False steps 490
1:10 touched False steps 490
1:11 touched False steps 490
1:12 touched False steps 490
1:13 touched False steps 490
1:14 touched False steps 490
1:15 touched False steps 490
1:16 touched True steps 376
1:17 touched True steps 373
1:18 touched True steps 376
1:19 touched True steps 383
1:20 touched True steps 407
1:21 touched True steps 411
1:22 touched True steps 421
1:23 touched True steps 434
1:24 touched True steps 440
1:25 touched True steps 447
1:26 touched True steps 455
1:27 touched True steps 461
1:28 touched True steps 465
1:29 touched True steps 470
1:30 touched True steps 473
1:31 touched True steps 478
1:32 touched True steps 481
1:33 touched True steps 484
1:34 touched False steps 490
1:35 touched False steps 490
1:36 touched False steps 490
1:37 touched False steps 490
1:38 touched False steps 490
1:39 touched False steps 490
1:40 touched False steps 490
1:41 touched False steps 490
1:42 touched True steps 377
1:43 touched True steps 375
1:44 touched True steps 376
1:45 touched True steps 381
1:46 touched True steps 406
1:47 touched True steps 441
1:48 touched True steps 447
1:49 touched True steps 453
1:50 touched True steps 461
Revolution 2
2:0 touched True steps 464
2:1 touched True steps 471
2:2 touched True steps 480
2:3 touched True steps 483
2:4 touched True steps 484
2:5 touched False steps 490
2:6 touched False steps 490
2:7 touched False steps 490
2:8 touched False steps 490
2:9 touched False steps 490
2:10 touched False steps 490
2:11 touched False steps 490
2:12 touched False steps 490
2:13 touched False steps 490
2:14 touched False steps 490
2:15 touched False steps 490
2:16 touched True steps 374
2:17 touched True steps 375
2:18 touched True steps 375
2:19 touched True steps 379
2:20 touched True steps 403
2:21 touched True steps 414
2:22 touched True steps 426
2:23 touched True steps 431
2:24 touched True steps 437
2:25 touched True steps 449
2:26 touched True steps 452
2:27 touched True steps 459
2:28 touched True steps 465
2:29 touched True steps 471
2:30 touched True steps 474
2:31 touched True steps 474
2:32 touched True steps 483
2:33 touched True steps 487
2:34 touched False steps 490
2:35 touched False steps 490
2:36 touched False steps 490
2:37 touched False steps 490
2:38 touched False steps 490
2:39 touched False steps 490
2:40 touched False steps 490
2:41 touched False steps 490
2:42 touched True steps 373
2:43 touched True steps 375
2:44 touched True steps 375
2:45 touched True steps 381
2:46 touched True steps 403
2:47 touched True steps 438
2:48 touched True steps 446
2:49 touched True steps 452
2:50 touched True steps 458
Revolution 3
3:0 touched True steps 466
3:1 touched True steps 476
3:2 touched True steps 480
3:3 touched True steps 480
3:4 touched True steps 486
3:5 touched True steps 490
3:6 touched False steps 490
3:7 touched False steps 490
3:8 touched False steps 490
3:9 touched False steps 490
3:10 touched False steps 490
3:11 touched False steps 490
3:12 touched False steps 490
3:13 touched False steps 490
3:14 touched False steps 490
3:15 touched False steps 490
3:16 touched True steps 378
3:17 touched True steps 378
3:18 touched True steps 375
3:19 touched True steps 379
3:20 touched True steps 404
3:21 touched True steps 414
3:22 touched True steps 424
3:23 touched True steps 432
3:24 touched True steps 442
3:25 touched True steps 447
3:26 touched True steps 453
3:27 touched True steps 460
3:28 touched True steps 466
3:29 touched True steps 468
3:30 touched True steps 473
3:31 touched True steps 477
3:32 touched True steps 483
3:33 touched True steps 484
3:34 touched False steps 490
3:35 touched False steps 490
3:36 touched False steps 490
3:37 touched False steps 490
3:38 touched False steps 490
3:39 touched False steps 490
3:40 touched False steps 490
3:41 touched False steps 490
3:42 touched True steps 373
3:43 touched True steps 376
3:44 touched True steps 376
3:45 touched True steps 382
3:46 touched True steps 402
3:47 touched True steps 443
3:48 touched True steps 444
3:49 touched True steps 453
3:50 touched True steps 457
Revolution 4
4:0 touched True steps 464
4:1 touched True steps 472
4:2 touched True steps 479
4:3 touched True steps 484
4:4 touched True steps 489
4:5 touched True steps 489
4:6 touched False steps 490
4:7 touched False steps 490
4:8 touched False steps 490
4:9 touched False steps 490
4:10 touched False steps 490
4:11 touched False steps 490
4:12 touched False steps 490
4:13 touched False steps 490
4:14 touched False steps 490
4:15 touched False steps 490
4:16 touched True steps 375
4:17 touched True steps 375
4:18 touched True steps 377
4:19 touched True steps 381
4:20 touched True steps 400
4:21 touched True steps 410
4:22 touched True steps 422
4:23 touched True steps 433
4:24 touched True steps 438
4:25 touched True steps 448
4:26 touched True steps 456
4:27 touched True steps 461
4:28 touched True steps 466
4:29 touched True steps 469
4:30 touched True steps 475
4:31 touched True steps 476
4:32 touched True steps 481
4:33 touched True steps 489
4:34 touched False steps 490
4:35 touched False steps 490
4:36 touched False steps 490
4:37 touched False steps 490
4:38 touched False steps 490
4:39 touched False steps 490
4:40 touched False steps 490
4:41 touched False steps 490
4:42 touched True steps 376
4:43 touched True steps 375
4:44 touched True steps 377
4:45 touched True steps 381
4:46 touched True steps 405
4:47 touched True steps 441
4:48 touched True steps 444
4:49 touched True steps 454
4:50 touched True steps 461
Revolution 5
5:0 touched True steps 467
5:1 touched True steps 471
5:2 touched True steps 480
5:3 touched True steps 485
5:4 touched True steps 487
5:5 touched False steps 490
5:6 touched False steps 490
5:7 touched False steps 490
5:8 touched False steps 490
5:9 touched False steps 490
5:10 touched False steps 490
5:11 touched False steps 490
5:12 touched False steps 490
5:13 touched False steps 490
5:14 touched False steps 490
5:15 touched False steps 490
5:16 touched True steps 375
5:17 touched True steps 376
5:18 touched True steps 377
5:19 touched True steps 381
5:20 touched True steps 405
5:21 touched True steps 414
5:22 touched True steps 426
5:23 touched True steps 432
5:24 touched True steps 439
5:25 touched True steps 450
5:26 touched True steps 454
5:27 touched True steps 460
5:28 touched True steps 467
5:29 touched True steps 472
5:30 touched True steps 474
5:31 touched True steps 477
5:32 touched True steps 483
5:33 touched True steps 488
5:34 touched False steps 490
5:35 touched False steps 490
5:36 touched False steps 490
5:37 touched False steps 490
5:38 touched False steps 490
5:39 touched False steps 490
5:40 touched False steps 490
5:41 touched False steps 490
5:42 touched True steps 376
5:43 touched True steps 378
5:44 touched True steps 377
5:45 touched True steps 382
5:46 touched True steps 401
5:47 touched True steps 442
5:48 touched True steps 446
5:49 touched True steps 451
5:50 touched True steps 463
Revolution 6
6:0 touched True steps 469
6:1 touched True steps 475
6:2 touched True steps 479
6:3 touched True steps 485
6:4 touched True steps 487
6:5 touched False steps 490
6:6 touched False steps 490
6:7 touched False steps 490
6:8 touched False steps 490
6:9 touched False steps 490
6:10 touched False steps 490
6:11 touched False steps 490
6:12 touched False steps 490
6:13 touched False steps 490
6:14 touched False steps 490
6:15 touched False steps 490
6:16 touched True steps 378
6:17 touched True steps 379
6:18 touched True steps 375
6:19 touched True steps 384
6:20 touched True steps 404
6:21 touched True steps 416
6:22 touched True steps 424
6:23 touched True steps 432
6:24 touched True steps 443
6:25 touched True steps 447
6:26 touched True steps 457
6:27 touched True steps 461
6:28 touched True steps 468
6:29 touched True steps 469
6:30 touched True steps 475
6:31 touched True steps 478
6:32 touched True steps 483
6:33 touched True steps 487
6:34 touched False steps 490
6:35 touched False steps 490
6:36 touched False steps 490
6:37 touched False steps 490
6:38 touched False steps 490
6:39 touched False steps 490
6:40 touched False steps 490
6:41 touched True steps 471
6:42 touched True steps 375
6:43 touched True steps 377
6:44 touched True steps 376
6:45 touched True steps 382
6:46 touched True steps 404
6:47 touched True steps 443
6:48 touched True steps 445
6:49 touched True steps 455
6:50 touched True steps 459
Revolution 7
7:0 touched True steps 468
7:1 touched True steps 475
7:2 touched True steps 480
7:3 touched True steps 484
7:4 touched True steps 489
7:5 touched False steps 490
7:6 touched False steps 490
7:7 touched False steps 490
7:8 touched False steps 490
7:9 touched False steps 490
7:10 touched False steps 490
7:11 touched False steps 490
7:12 touched False steps 490
7:13 touched False steps 490
7:14 touched False steps 490
7:15 touched False steps 490
7:16 touched True steps 377
7:17 touched True steps 376
7:18 touched True steps 376
7:19 touched True steps 383
7:20 touched False steps 490
7:21 touched False steps 490
7:22 touched False steps 490
7:23 touched False steps 490
7:24 touched True steps 442
7:25 touched True steps 449
7:26 touched True steps 457
7:27 touched True steps 463
7:28 touched True steps 467
7:29 touched True steps 472
7:30 touched False steps 490
7:31 touched False steps 490
7:32 touched False steps 490
7:33 touched False steps 490
7:34 touched False steps 490
7:35 touched False steps 490
7:36 touched False steps 490
7:37 touched False steps 490
7:38 touched False steps 490
7:39 touched False steps 490
7:40 touched False steps 490
7:41 touched False steps 490
7:42 touched False steps 490
7:43 touched True steps 374
7:44 touched True steps 379
7:45 touched True steps 384
7:46 touched False steps 490
7:47 touched False steps 490
7:48 touched False steps 490
7:49 touched False steps 490
7:50 touched False steps 490
Revolution 8
8:0 touched False steps 490
