ConfirmFirstMeasureToSideOfTable()
Table measured at :97
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
0:0 touched True steps 206
0:1 touched True steps 203
0:2 touched True steps 201
0:3 touched True steps 270
0:4 touched True steps 202
0:5 touched True steps 182
0:6 touched True steps 153
0:7 touched True steps 237
0:8 touched True steps 259
0:9 touched True steps 445
0:10 touched True steps 179
0:11 touched True steps 183
0:12 touched True steps 191
0:13 touched True steps 201
0:14 touched True steps 201
0:15 touched True steps 203
0:16 touched True steps 204
0:17 touched True steps 205
0:18 touched True steps 210
0:19 touched True steps 212
0:20 touched True steps 218
0:21 touched True steps 220
0:22 touched True steps 223
0:23 touched True steps 223
0:24 touched True steps 223
0:25 touched True steps 223
0:26 touched True steps 225
0:27 touched True steps 223
0:28 touched True steps 225
0:29 touched True steps 223
0:30 touched True steps 223
0:31 touched True steps 220
0:32 touched True steps 222
0:33 touched True steps 220
0:34 touched True steps 222
0:35 touched True steps 213
0:36 touched True steps 224
0:37 touched True steps 280
0:38 touched True steps 224
0:39 touched True steps 226
0:40 touched True steps 226
0:41 touched True steps 225
0:42 touched True steps 226
0:43 touched True steps 226
0:44 touched True steps 223
0:45 touched True steps 218
0:46 touched True steps 217
0:47 touched True steps 215
0:48 touched True steps 213
0:49 touched True steps 208
0:50 touched True steps 352
Revolution 1
1:0 touched True steps 355
1:1 touched True steps 346
1:2 touched True steps 345
1:3 touched True steps 348
1:4 touched True steps 346
1:5 touched True steps 310
1:6 touched True steps 182
1:7 touched True steps 233
1:8 touched True steps 347
1:9 touched True steps 346
1:10 touched True steps 345
1:11 touched True steps 348
1:12 touched True steps 349
1:13 touched True steps 349
1:14 touched True steps 352
1:15 touched True steps 356
1:16 touched True steps 354
1:17 touched True steps 354
1:18 touched True steps 360
1:19 touched True steps 365
1:20 touched True steps 221
1:21 touched True steps 223
1:22 touched True steps 226
1:23 touched True steps 227
1:24 touched True steps 227
1:25 touched True steps 226
1:26 touched True steps 229
1:27 touched True steps 227
1:28 touched True steps 228
1:29 touched True steps 229
1:30 touched True steps 226
1:31 touched True steps 226
1:32 touched True steps 224
1:33 touched True steps 380
1:34 touched True steps 385
1:35 touched True steps 385
1:36 touched True steps 227
1:37 touched True steps 228
1:38 touched True steps 333
1:39 touched True steps 335
1:40 touched True steps 338
1:41 touched True steps 344
1:42 touched True steps 355
1:43 touched True steps 365
1:44 touched True steps 351
1:45 touched True steps 259
1:46 touched True steps 335
1:47 touched True steps 348
1:48 touched True steps 359
1:49 touched True steps 350
1:50 touched True steps 348
Revolution 2
2:0 touched True steps 350
2:1 touched True steps 347
2:2 touched True steps 346
2:3 touched True steps 343
2:4 touched True steps 341
2:5 touched True steps 184
2:6 touched True steps 173
2:7 touched True steps 248
2:8 touched True steps 461
2:9 touched True steps 183
2:10 touched True steps 346
2:11 touched True steps 344
2:12 touched True steps 347
2:13 touched True steps 349
2:14 touched True steps 352
2:15 touched True steps 351
2:16 touched True steps 355
2:17 touched True steps 215
2:18 touched True steps 359
2:19 touched True steps 358
2:20 touched True steps 223
2:21 touched True steps 230
2:22 touched True steps 225
2:23 touched True steps 228
2:24 touched True steps 375
2:25 touched True steps 375
2:26 touched True steps 374
2:27 touched True steps 376
2:28 touched True steps 378
2:29 touched True steps 379
2:30 touched True steps 378
2:31 touched True steps 381
2:32 touched True steps 382
2:33 touched True steps 383
2:34 touched True steps 381
2:35 touched True steps 224
2:36 touched True steps 227
2:37 touched True steps 362
2:38 touched True steps 352
2:39 touched True steps 352
2:40 touched True steps 355
2:41 touched True steps 358
2:42 touched True steps 363
2:43 touched True steps 370
2:44 touched True steps 370
2:45 touched True steps 353
2:46 touched True steps 347
2:47 touched True steps 351
2:48 touched True steps 352
2:49 touched True steps 212
2:50 touched True steps 352
Revolution 3
3:0 touched True steps 350
3:1 touched True steps 346
3:2 touched True steps 344
3:3 touched True steps 346
3:4 touched True steps 344
3:5 touched True steps 344
3:6 touched True steps 346
3:7 touched True steps 332
3:8 touched True steps 345
3:9 touched True steps 343
3:10 touched True steps 344
3:11 touched True steps 345
3:12 touched True steps 347
3:13 touched True steps 345
3:14 touched True steps 348
3:15 touched True steps 351
3:16 touched True steps 355
3:17 touched True steps 355
3:18 touched True steps 217
3:19 touched True steps 221
3:20 touched True steps 224
3:21 touched True steps 224
3:22 touched True steps 224
3:23 touched True steps 372
3:24 touched True steps 374
3:25 touched True steps 372
3:26 touched True steps 375
3:27 touched True steps 377
3:28 touched True steps 378
3:29 touched True steps 377
3:30 touched True steps 378
3:31 touched True steps 379
3:32 touched True steps 379
3:33 touched True steps 380
3:34 touched True steps 383
3:35 touched True steps 229
3:36 touched True steps 371
3:37 touched True steps 372
3:38 touched True steps 363
3:39 touched True steps 364
3:40 touched True steps 366
3:41 touched True steps 357
3:42 touched True steps 348
3:43 touched True steps 327
3:44 touched True steps 379
3:45 touched True steps 325
3:46 touched True steps 343
3:47 touched True steps 350
3:48 touched True steps 355
3:49 touched True steps 219
3:50 touched True steps 364
Revolution 4
4:0 touched True steps 352
4:1 touched True steps 347
4:2 touched True steps 342
4:3 touched True steps 343
4:4 touched True steps 341
4:5 touched True steps 343
4:6 touched True steps 345
4:7 touched True steps 338
4:8 touched True steps 342
4:9 touched True steps 342
4:10 touched True steps 342
4:11 touched True steps 344
4:12 touched True steps 345
4:13 touched True steps 349
4:14 touched True steps 350
4:15 touched True steps 354
4:16 touched True steps 351
4:17 touched True steps 354
4:18 touched True steps 358
4:19 touched True steps 362
4:20 touched True steps 221
4:21 touched True steps 370
4:22 touched True steps 374
4:23 touched True steps 373
4:24 touched True steps 372
4:25 touched True steps 372
4:26 touched True steps 375
4:27 touched True steps 376
4:28 touched True steps 378
4:29 touched True steps 379
4:30 touched True steps 380
4:31 touched True steps 381
4:32 touched True steps 380
4:33 touched True steps 381
4:34 touched True steps 387
4:35 touched True steps 229
4:36 touched True steps 318
4:37 touched True steps 330
4:38 touched True steps 331
4:39 touched True steps 379
4:40 touched True steps 379
4:41 touched True steps 383
4:42 touched True steps 380
4:43 touched True steps 381
4:44 touched True steps 380
4:45 touched True steps 378
4:46 touched True steps 376
4:47 touched True steps 371
4:48 touched True steps 367
4:49 touched True steps 362
4:50 touched True steps 358
Revolution 5
5:0 touched True steps 356
5:1 touched True steps 354
5:2 touched True steps 352
5:3 touched True steps 349
5:4 touched True steps 343
5:5 touched True steps 342
5:6 touched True steps 345
5:7 touched True steps 341
5:8 touched True steps 345
5:9 touched True steps 344
5:10 touched True steps 344
5:11 touched True steps 343
5:12 touched True steps 345
5:13 touched True steps 348
5:14 touched True steps 350
5:15 touched True steps 351
5:16 touched True steps 356
5:17 touched True steps 355
5:18 touched True steps 362
5:19 touched True steps 364
5:20 touched True steps 366
5:21 touched True steps 369
5:22 touched True steps 371
5:23 touched True steps 374
5:24 touched True steps 376
5:25 touched True steps 377
5:26 touched True steps 382
5:27 touched True steps 381
5:28 touched True steps 383
5:29 touched True steps 382
5:30 touched True steps 383
5:31 touched True steps 384
5:32 touched True steps 385
5:33 touched True steps 386
5:34 touched True steps 384
5:35 touched True steps 382
5:36 touched True steps 384
5:37 touched True steps 382
5:38 touched True steps 383
5:39 touched True steps 383
5:40 touched True steps 235
5:41 touched True steps 236
5:42 touched True steps 234
5:43 touched True steps 233
5:44 touched True steps 378
5:45 touched True steps 375
5:46 touched True steps 377
5:47 touched True steps 372
5:48 touched True steps 367
5:49 touched True steps 362
5:50 touched True steps 356
Revolution 6
6:0 touched True steps 354
6:1 touched True steps 351
6:2 touched True steps 349
6:3 touched True steps 348
6:4 touched True steps 349
6:5 touched True steps 347
6:6 touched True steps 346
6:7 touched True steps 343
6:8 touched True steps 343
6:9 touched True steps 344
6:10 touched True steps 345
6:11 touched True steps 347
6:12 touched True steps 349
6:13 touched True steps 351
6:14 touched True steps 352
6:15 touched True steps 353
6:16 touched True steps 357
6:17 touched True steps 360
6:18 touched True steps 364
6:19 touched True steps 366
6:20 touched True steps 373
6:21 touched True steps 375
6:22 touched True steps 376
6:23 touched True steps 378
6:24 touched True steps 381
6:25 touched True steps 381
6:26 touched True steps 382
6:27 touched True steps 383
6:28 touched True steps 383
6:29 touched True steps 382
6:30 touched True steps 380
6:31 touched True steps 382
6:32 touched True steps 381
6:33 touched True steps 384
6:34 touched True steps 384
6:35 touched True steps 385
6:36 touched True steps 383
6:37 touched True steps 382
6:38 touched True steps 379
6:39 touched True steps 379
6:40 touched True steps 378
6:41 touched True steps 381
6:42 touched True steps 380
6:43 touched True steps 381
6:44 touched True steps 374
6:45 touched True steps 372
6:46 touched True steps 370
6:47 touched True steps 367
6:48 touched True steps 364
6:49 touched True steps 358
6:50 touched True steps 357
Revolution 7
7:0 touched True steps 355
7:1 touched True steps 350
7:2 touched True steps 348
7:3 touched True steps 348
7:4 touched True steps 347
7:5 touched True steps 348
7:6 touched True steps 348
7:7 touched True steps 349
7:8 touched True steps 350
7:9 touched True steps 350
7:10 touched True steps 351
7:11 touched True steps 354
7:12 touched True steps 350
7:13 touched True steps 351
7:14 touched True steps 354
7:15 touched True steps 355
7:16 touched True steps 358
7:17 touched True steps 368
7:18 touched True steps 370
7:19 touched True steps 373
7:20 touched True steps 375
7:21 touched True steps 377
7:22 touched True steps 380
7:23 touched True steps 381
7:24 touched True steps 380
7:25 touched True steps 381
7:26 touched True steps 383
7:27 touched True steps 380
7:28 touched True steps 381
7:29 touched True steps 380
7:30 touched True steps 382
7:31 touched True steps 380
7:32 touched True steps 380
7:33 touched True steps 381
7:34 touched True steps 385
7:35 touched True steps 382
7:36 touched True steps 383
7:37 touched True steps 383
7:38 touched True steps 384
7:39 touched True steps 383
7:40 touched True steps 382
7:41 touched True steps 383
7:42 touched True steps 374
7:43 touched True steps 376
7:44 touched True steps 377
7:45 touched True steps 376
7:46 touched True steps 373
7:47 touched True steps 370
7:48 touched True steps 367
7:49 touched True steps 362
7:50 touched True steps 357
Revolution 8
8:0 touched True steps 357
8:1 touched True steps 353
